,headline,reviewBody,Author Name,Published Year,Published Month,Published Day,Review,SA Negative,SA Positive,Review Case
0,Excellent service from Scott,"Very pleased with the service we received from Scott in the Tunbridge Wells Vodafone. He was really professional and patient with us. Need more employees like him, who are willing to help with a “can do” attitude.",kamila,2022,1,16,5,0,0.25,Positive
1,Amazing service from Duane at Hereford…,"Amazing service from Duane at Hereford store today, went above and beyond and it was such a nice change to be served/helped by someone who cared for what he does/doing, so big shout out and thank you :-)",michelle DURKIN,2022,1,16,5,0,0.307,Positive
2,I would do a 0 star but is not…,"I would do a 0 star but is not possible. Tricking customers into buying products that doesnt fit their needs, upgrades with no option to upgrade after a year",Danut Malutan,2022,1,16,1,0.23,0,Negative
3,If your looking to spend hours and…,"If your looking to spend hours and hours on the phone dealing with Asian representatives of Vodafone trying to resolve issues your having with the service then look no further, you have found your cheap broadband provider who at every opportunity will try their very hardest to heap misery on you. The old saying of “you only get what you pay for” is very true in this case, cheap broadband with bad customer service.I managed to get out before I was tied to them for two years by leaving within the 14 days grace period of my contract but even that had its drama, twice I was threatened with a early termination fee, the Asian team thought it was ok to use this tactic to stop me leaving the service and then after I cancelled the service the broadband still remained and again I spent hours on the phone telling Vodafone that I had cancelled the service and wouldn’t be paying for a discontinued service which consumed my whole Saturday morning. Vodafone customer service is one of the worst I have ever experienced.",jon newstart,2022,1,16,1,0.127,0.053,Negative
4,Went into the vodaphone shop in…,"Went into the vodaphone shop in Solihull in November 2021. Me and my wife upgraded our phone's. The member id staff was very helpful. Your days later my received her phone. I didn't. It's now been several weeks and still no new phone. After phoning several times sometimes taking over an hour to get through and being given so many different excuses why my phone hadn't come. My daughter eventually spoke to a senior manager who admitted some of the information given was incorrect and to quite ""we'll have to put this on our staff training courses"". This was two weeks ago and he said that he would sort it but was unable to give a date when my phone will arrive. The customer service is appalling. Next time we want a new phone it will not be with Vodaphone. If you do care about your customers get your act together.",Geoff Millington,2022,1,16,1,0.031,0.058,Positive
5,Wish I'd stayed with Three Mobile,Wish I'd stayed with Three Mobile. Mobile internet is patchy and slow. In my work (in a city) can barely get reception where before I had a super fast connection. I'm even contemplating getting a sim only from 3 again so I can get reliable internet and just use the handset from Vodafone.,James,2022,1,15,2,0,0.128,Positive
6,I’ve been left disgusted and…,I’ve been left disgusted and disappointed by a company I’ve stayed loyal to for over 20 years. Their customer service is at an all time low. Tried to over charge me on a sim only deal. The same deal my husband got 12 months ago. Wouldn’t take my word on how much my husband was paying. Told him my husband would give him his details to check he wouldn’t do it. Didn’t care that I had decided to move to a rival company. On the plus side had a lovely helpful guy at carphone warehouse who was only to happy to have my custom. Had told me he had a lot of unhappy Vodafone customers in!!,NS,2022,1,15,1,0.088,0.133,Positive
7,These people are absolutely awful you…,These people are absolutely awful you are transferred from department to department to people who can hardly understand English give your details over and over again and end up getting nowhere Shocking customer service,"steve	shaw",2022,1,15,1,0.088,0.06,Negative
8,Terrible customer service,"Vodafone make frequent mistake incorrectly charging for services. For example, every year I get charged twice for my Spotify service. Getting hold of a customer representative on the phone is an incredibly frustrating experience, they make it very hard and it takes a huge amount of time spent on hold. They could make the customer experience better with simple things, e.g. the possibility to request a call back or giving a time estimate of how long the wait is. They should learn from Apple or Amazon for what good customer service is.",mbp,2022,1,15,1,0.092,0.123,Positive
9,Terrible service,"Terrible service, they were unable to transfer my number through after giving them a PAC Code, I've had no service on my phone for a week and they keep delaying it. It is impossible to get a hold of someone on their phone lines and in their stores. Worst network, I should have stayed with o2.",A Vaghela,2022,1,15,1,0.156,0.062,Negative
10,My review is 20 years late,"My review is 20 years late. I bought an LG shine with vodaphone when they first came out. There was a line down the screen, so I sent it straight back for repairs. Which took 3 months. 3 months where I was still charged for the contract and I recieved my phone back with a letter saying they found no problem. Lss, I incurred a £900 bill for a phone I refused to accept, and a ccj, and they are nothing but crooks.",Adam,2022,1,15,1,0.087,0.046,Negative
